study,source,dbase,Inst,hcp_variable,variable_label,variable_type,variable_options,nda_structure,nda_element,structure_label,element_label,element_description,element_values,inst_short,template,action_request,hcp_variable_upload,specialty_code,requested_python,version,form,hcpdchild,hcpdparent,hcpd18
HCPD,REDCap,hcpdchild hcpd18 hcpdparent,,,,,,ndarsubjects01,<many>,,,,,,,,,1,,,,,,
HCPD,REDCap,hcpdchild hcpd18 hcpdparent,,,,,,edinburgh_hand01,<many>,,,,,,,,,1,,,,,,
HCPD,REDCap,hcpd18,,asr1,,,,asr01,asr1_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr1,,"asr1=pd.to_numeric(studydata.asr1,errors='coerce')+1; studydata.asr1=asr1.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr2,,,,asr01,asr1_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr2,,"asr2=pd.to_numeric(studydata.asr2,errors='coerce')+1; studydata.asr2=asr2.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr3,,,,asr01,asr1_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr3,,"asr3=pd.to_numeric(studydata.asr3,errors='coerce')+1; studydata.asr3=asr3.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr4,,,,asr01,asr1_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr4,,"asr4=pd.to_numeric(studydata.asr4,errors='coerce')+1; studydata.asr4=asr4.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr5,,,,asr01,asr1_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr5,,"asr5=pd.to_numeric(studydata.asr5,errors='coerce')+1; studydata.asr5=asr5.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr6,,,,asr01,asr1_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr6,,"asr6=pd.to_numeric(studydata.asr6,errors='coerce')+1; studydata.asr6=asr6.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr6des,,,,asr01,asr1_6_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr7,,,,asr01,asr2_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr7,,"asr7=pd.to_numeric(studydata.asr7,errors='coerce')+1; studydata.asr7=asr7.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr8,,,,asr01,asr2_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr8,,"asr8=pd.to_numeric(studydata.asr8,errors='coerce')+1; studydata.asr8=asr8.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr9,,,,asr01,asr2_3,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr9,,"asr9=pd.to_numeric(studydata.asr9,errors='coerce')+1; studydata.asr9=asr9.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr9des,,,,asr01,asr2_3_text,,,,,,,,,,,,,True,True,True
HCPD,REDCap,hcpd18,,asr10,,,,asr01,asr2_4,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr10,,"asr10=pd.to_numeric(studydata.asr10,errors='coerce')+1; studydata.asr10=asr10.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr11,,,,asr01,asr2_5,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr11,,"asr11=pd.to_numeric(studydata.asr11,errors='coerce')+1; studydata.asr11=asr11.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr12,,,,asr01,asr2_6,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr12,,"asr12=pd.to_numeric(studydata.asr12,errors='coerce')+1; studydata.asr12=asr12.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr13,,,,asr01,asr3_1,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr13,,"asr13=pd.to_numeric(studydata.asr13,errors='coerce')+1; studydata.asr13=asr13.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
HCPD,REDCap,hcpd18,,asr14,,,,asr01,asr3_2,,,,,,,Please increment your 0::2 scale to a 1::3 scale.,asr14,,"asr14=pd.to_numeric(studydata.asr14,errors='coerce')+1; studydata.asr14=asr14.fillna(-99).astype(int).astype(str).str.replace('-99','')",,,True,True,True
